viviendaCodigo;periodo;DPE;MONTO_DPE;CAMUZZI;MONTO_CAMUZZI;DPOSS;MONTO_DPOSS
AS-H-01;2026_01;4875;$ 1.000,00;3617/3;$ 2.400,00;12011;$ 3.000,00
AS-H-02;2026_01;4871;$ 1.000,00;3616/1;$ 2.400,00;12012;$ 3.000,00
AS-H-03;2026_01;4870;$ 1.000,00;3635/5;$ 2.400,00;12013;$ 3.000,00
AS-H-04;2026_01;4878;$ 1.000,00;3637/9;$ 2.400,00;12014;$ 3.000,00
AS-H-05;2026_01;4866;$ 1.000,00;3636/7;$ 2.400,00;12015;$ 3.000,00
AS-H-06;2026_01;4868;$ 1.000,00;3638/1;$ 2.400,00;12016;$ 3.000,00
AS-I-01;2026_01;4673;$ 1.000,00;3722/1;$ 2.400,00;12017;$ 3.000,00
AS-I-02;2026_01;4669;$ 1.000,00;3728/1;$ 2.400,00;12018;$ 3.000,00
AS-I-03;2026_01;4886;$ 1.000,00;3729/3;$ 2.400,00;12019;$ 3.000,00
AS-I-04;2026_01;19073;$ 1.000,00;3731/1;$ 2.400,00;12020;$ 3.000,00
AS-I-05;2026_01;10018;$ 1.000,00;3718/9;$ 2.400,00;12021;$ 3.000,00
AS-I-06;2026_01;10021;$ 1.000,00;3717/7;$ 2.400,00;12022;$ 3.000,00
AS-I-07;2026_01;4888;$ 1.000,00;3720/7;$ 2.400,00;12023;$ 3.000,00
AS-I-08;2026_01;10826;$ 1.000,00;3721/9;$ 2.400,00;12024;$ 3.000,00
AS-I-09;2026_01;4883;$ 1.000,00;3730/0;$ 2.400,00;12025;$ 3.000,00
AS-I-10;2026_01;4885;$ 1.000,00;3725/6;$ 2.400,00;12026;$ 3.000,00
AS-I-11;2026_01;4890;$ 1.000,00;3734/7;$ 2.400,00;12027;$ 3.000,00
AS-I-12;2026_01;4898;$ 1.000,00;3732/3;$ 2.400,00;12028;$ 3.000,00
AS-I-13;2026_01;4894;$ 1.000,00;3738/4;$ 2.400,00;12029;$ 3.000,00
AS-I-14;2026_01;10016;$ 1.000,00;3716/5;$ 2.400,00;12030;$ 3.000,00
AS-I-15;2026_01;10019;$ 1.000,00;3719/1;$ 2.400,00;12031;$ 3.000,00
AS-I-16;2026_01;4670;$ 1.000,00;3723/2;$ 2.400,00;12032;$ 3.000,00
AS-I-17;2026_01;4881;$ 1.000,00;3724/4;$ 2.400,00;12033;$ 3.000,00
AS-I-18;2026_01;4887;$ 1.000,00;3727/0;$ 2.400,00;12034;$ 3.000,00
AS-I-19;2026_01;4889;$ 1.000,00;3726/8;$ 2.400,00;12035;$ 3.000,00
AS-I-20;2026_01;4893;$ 1.000,00;3733/5;$ 2.400,00;12036;$ 3.000,00
AS-I-21;2026_01;4884;$ 1.000,00;3735/9;$ 2.400,00;12037;$ 3.000,00
AS-I-22;2026_01;4892;$ 1.000,00;3736/1;$ 2.400,00;12038;$ 3.000,00
AS-I-23;2026_01;5881;$ 1.000,00;3749/9;$ 2.400,00;13616;$ 3.000,00
AS-I-24;2026_01;4863;$ 1.000,00;3744/0;$ 2.400,00;13617;$ 3.000,00
AS-I-25;2026_01;4897;$ 1.000,00;3737/2;$ 2.400,00;12039;$ 3.000,00
AS-I-26;2026_01;4858;$ 1.000,00;3741/4;$ 2.400,00;12040;$ 3.000,00
AS-I-27;2026_01;4895;$ 1.000,00;3742/6;$ 2.400,00;12041;$ 3.000,00
AS-I-28;2026_01;4855;$ 1.000,00;3752/9;$ 2.400,00;12042;$ 3.000,00
AS-I-29;2026_01;4857;$ 1.000,00;3753/1;$ 2.400,00;12043;$ 3.000,00
AS-I-30;2026_01;4865;$ 1.000,00;3746/3;$ 2.400,00;12044;$ 3.000,00
AS-I-31;2026_01;4867;$ 1.000,00;3750/5;$ 2.400,00;12045;$ 3.000,00
AS-I-32;2026_01;4891;$ 1.000,00;3739/6;$ 2.400,00;12046;$ 3.000,00
AS-I-33;2026_01;4859;$ 1.000,00;3743/8;$ 2.400,00;12047;$ 3.000,00
AS-I-34;2026_01;4862;$ 1.000,00;3740/2;$ 2.400,00;12048;$ 3.000,00
AS-I-35;2026_01;4856;$ 1.000,00;3747/5;$ 2.400,00;12049;$ 3.000,00
AS-I-36;2026_01;4861;$ 1.000,00;3748/7;$ 2.400,00;12050;$ 3.000,00
AS-I-37;2026_01;4869;$ 1.000,00;3745/1;$ 2.400,00;12051;$ 3.000,00
AS-I-38;2026_01;4864;$ 1.000,00;3751/7;$ 2.400,00;12052;$ 3.000,00
AS-J-01;2026_01;4879;$ 1.000,00;3632/0;$ 2.400,00;12053;$ 3.000,00
AS-J-02;2026_01;4882;$ 1.000,00;3622/7;$ 2.400,00;12054;$ 3.000,00
AS-J-03;2026_01;4409;$ 1.000,00;3630/6;$ 2.400,00;12055;$ 3.000,00
AS-J-04;2026_01;4413;$ 1.000,00;3634/3;$ 2.400,00;12056;$ 3.000,00
AS-J-05;2026_01;4880;$ 1.000,00;3621/5;$ 2.400,00;12057;$ 3.000,00
AS-J-06;2026_01;4414;$ 1.000,00;3633/1;$ 2.400,00;12058;$ 3.000,00
AS-J-07;2026_01;4410;$ 1.000,00;3631/8;$ 2.400,00;12059;$ 3.000,00
AS-K-01;2026_01;4412;$ 1.000,00;3627/6;$ 2.400,00;12060;$ 3.000,00
AS-K-02;2026_01;4401;$ 1.000,00;3623/9;$ 2.400,00;12061;$ 3.000,00
AS-K-03;2026_01;4415;$ 1.000,00;3625/2;$ 2.400,00;12062;$ 3.000,00
AS-K-04;2026_01;4404;$ 1.000,00;3629/0;$ 2.400,00;12063;$ 3.000,00
AS-K-05;2026_01;4400;$ 1.000,00;3624/1;$ 2.400,00;12064;$ 3.000,00
AS-K-06;2026_01;4411;$ 1.000,00;3628/8;$ 2.400,00;12065;$ 3.000,00
AS-K-07;2026_01;4408;$ 1.000,00;3626/4;$ 2.400,00;12066;$ 3.000,00
IN-1¿ Argen. 181;2026_01;5104;$ 1.000,00;8269/9;$ 2.400,00;4005;$ 3.000,00
IN-1¿ Argen. 195;2026_01;5102;$ 1.000,00;8270/5;$ 2.400,00;4006;$ 3.000,00
IN-G. Vald. 638;2026_01;4303;$ 1.000,00;2580/1;$ 2.400,00;5715;$ 3.000,00
IN-G. Vald. 650;2026_01;4113;$ 1.000,00;2581/3;$ 2.400,00;10395;$ 3.000,00
IN-G. Vald. 664;2026_01;4963;$ 1.000,00;2584/9;$ 2.400,00;10394;$ 3.000,00
IN-G. Vald. 680/688;2026_01;3921;$ 1.000,00;2582/5;$ 2.400,00;10393;$ 3.000,00
IN-Onas N¤ 50;2026_01;22365;$ 1.000,00;9410/0-07-03-0021152/0;$ 2.400,00;0;$ 3.000,00
IN-Peron Sur 127;2026_01;5478;$ 1.000,00;;$ 2.400,00;0;$ 3.000,00
IN-RÁo Iguaz£ 735;2026_01;5595;$ 1.000,00;5762/1;$ 2.400,00;4703;$ 3.000,00
IN-RÁo Iguaz£ 749;2026_01;5594;$ 1.000,00;5760/7;$ 2.400,00;4702;$ 3.000,00
IN-Roca 160 - A;2026_01;10407;$ 1.000,00;504/8;$ 2.400,00;393;$ 3.000,00
IN-Roca 160 - B;2026_01;6616;$ 1.000,00;505/0;$ 2.400,00;394;$ 3.000,00
IN-S.M 1520 D-01;2026_01;2757;$ 1.000,00;4725/1;$ 2.400,00;768;$ 3.000,00
IN-S.M 1520 D-02;2026_01;2752;$ 1.000,00;4726/2;$ 2.400,00;767;$ 3.000,00
IN-S.M 1520 D-03;2026_01;2746;$ 1.000,00;4727/4;$ 2.400,00;766;$ 3.000,00
IN-S.M 1520 D-04;2026_01;2760;$ 1.000,00;4728/6;$ 2.400,00;765;$ 3.000,00
LM-101;2026_01;6108;$ 1.000,00;5158/7;$ 2.400,00;13021;$ 3.000,00
LM-106;2026_01;1771;$ 1.000,00;5162/9;$ 2.400,00;13025;$ 3.000,00
LM-107;2026_01;1736;$ 1.000,00;5163/1;$ 2.400,00;13026;$ 3.000,00
LM-108;2026_01;1842;$ 1.000,00;5164/2;$ 2.400,00;13027;$ 3.000,00
LM-109;2026_01;1803;$ 1.000,00;5165/4;$ 2.400,00;13028;$ 3.000,00
LM-110;2026_01;4029;$ 1.000,00;5166/6;$ 2.400,00;13029;$ 3.000,00
LM-111;2026_01;1744;$ 1.000,00;1236/1;$ 2.400,00;13030;$ 3.000,00
LM-112;2026_01;1609;$ 1.000,00;5168/0;$ 2.400,00;13031;$ 3.000,00
LM-113;2026_01;1851;$ 1.000,00;6905/9;$ 2.400,00;13032;$ 3.000,00
LM-201;2026_01;11800;$ 1.000,00;5170/8;$ 2.400,00;13091;$ 3.000,00
LM-202;2026_01;9532;$ 1.000,00;5171/0;$ 2.400,00;13092;$ 3.000,00
LM-203;2026_01;1745;$ 1.000,00;5172/1;$ 2.400,00;13093;$ 3.000,00
LM-204;2026_01;1852;$ 1.000,00;5173/3;$ 2.400,00;13094;$ 3.000,00
LM-205;2026_01;1737;$ 1.000,00;5174/5;$ 2.400,00;13095;$ 3.000,00
LM-206;2026_01;3001;$ 1.000,00;5175/7;$ 2.400,00;13096;$ 3.000,00
LM-207;2026_01;1577;$ 1.000,00;5176/9;$ 2.400,00;13097;$ 3.000,00
LM-208;2026_01;845;$ 1.000,00;5177/1;$ 2.400,00;13098;$ 3.000,00
LM-209;2026_01;1615;$ 1.000,00;5178/2;$ 2.400,00;13099;$ 3.000,00
LM-210;2026_01;1621;$ 1.000,00;5179/4;$ 2.400,00;13100;$ 3.000,00
LM-211;2026_01;2837;$ 1.000,00;5180/1;$ 2.400,00;13101;$ 3.000,00
LM-251;2026_01;2667;$ 1.000,00;5181/2;$ 2.400,00;13102;$ 3.000,00
LM-252;2026_01;11105;$ 1.000,00;5182/4;$ 2.400,00;13103;$ 3.000,00
LM-253;2026_01;7177;$ 1.000,00;5183/6;$ 2.400,00;13104;$ 3.000,00
LM-254;2026_01;1619;$ 1.000,00;5184/8;$ 2.400,00;13105;$ 3.000,00
LM-255;2026_01;1746;$ 1.000,00;5185/0;$ 2.400,00;13106;$ 3.000,00
LM-256;2026_01;3232;$ 1.000,00;5186/1;$ 2.400,00;13107;$ 3.000,00
LM-257;2026_01;3009;$ 1.000,00;5187/3;$ 2.400,00;13108;$ 3.000,00
LM-258;2026_01;1613;$ 1.000,00;5188/5;$ 2.400,00;13109;$ 3.000,00
LM-259;2026_01;6862;$ 1.000,00;5189/7;$ 2.400,00;13110;$ 3.000,00
LM-260;2026_01;1200;$ 1.000,00;5190/3;$ 2.400,00;13111;$ 3.000,00
LM-261;2026_01;2826;$ 1.000,00;5191/5;$ 2.400,00;13112;$ 3.000,00
LM-262;2026_01;1610;$ 1.000,00;5192/7;$ 2.400,00;13113;$ 3.000,00
LM-263;2026_01;3970;$ 1.000,00;5193/9;$ 2.400,00;13114;$ 3.000,00
LM-264;2026_01;8923;$ 1.000,00;5194/1;$ 2.400,00;13115;$ 3.000,00
LM-265;2026_01;2154;$ 1.000,00;5195/2;$ 2.400,00;13116;$ 3.000,00
LM-266;2026_01;2899;$ 1.000,00;5196/4;$ 2.400,00;13117;$ 3.000,00
LM-267;2026_01;813;$ 1.000,00;5197/6;$ 2.400,00;13118;$ 3.000,00
LM-268;2026_01;667;$ 1.000,00;5198/8;$ 2.400,00;13119;$ 3.000,00
LM-269;2026_01;7197;$ 1.000,00;5199/0;$ 2.400,00;13120;$ 3.000,00
LM-270;2026_01;12058;$ 1.000,00;5200/2;$ 2.400,00;13121;$ 3.000,00
LM-271;2026_01;1774;$ 1.000,00;5201/4;$ 2.400,00;13122;$ 3.000,00
LM-272;2026_01;1880;$ 1.000,00;5202/6;$ 2.400,00;13123;$ 3.000,00
LM-273;2026_01;1786;$ 1.000,00;5203/8;$ 2.400,00;13124;$ 3.000,00
LM-274;2026_01;1726;$ 1.000,00;5204/0;$ 2.400,00;13125;$ 3.000,00
LM-275;2026_01;3096;$ 1.000,00;5205/1;$ 2.400,00;13126;$ 3.000,00
LM-276;2026_01;2152;$ 1.000,00;5206/3;$ 2.400,00;13127;$ 3.000,00
LM-277;2026_01;5601;$ 1.000,00;5207/5;$ 2.400,00;16677;$ 3.000,00
LM-278;2026_01;3118;$ 1.000,00;5208/7;$ 2.400,00;16678;$ 3.000,00
LM-279;2026_01;11836;$ 1.000,00;5209/9;$ 2.400,00;16679;$ 3.000,00
PB-501;2026_01;3188;$ 1.000,00;4710/9;$ 2.400,00;13000;$ 3.000,00
PB-502;2026_01;5398;$ 1.000,00;4711/1;$ 2.400,00;13001;$ 3.000,00
PB-503;2026_01;2871;$ 1.000,00;4707/9;$ 2.400,00;13002;$ 3.000,00
PB-504;2026_01;5397;$ 1.000,00;4704/3;$ 2.400,00;13003;$ 3.000,00
PB-505;2026_01;5393;$ 1.000,00;4703/1;$ 2.400,00;13004;$ 3.000,00
PB-506;2026_01;3218;$ 1.000,00;4700/6;$ 2.400,00;13005;$ 3.000,00
PB-507;2026_01;5374;$ 1.000,00;4709/2;$ 2.400,00;13006;$ 3.000,00
PB-508;2026_01;1525;$ 1.000,00;4708/1;$ 2.400,00;13007;$ 3.000,00
PB-509;2026_01;2865;$ 1.000,00;4706/7;$ 2.400,00;13008;$ 3.000,00
PB-510;2026_01;2870;$ 1.000,00;4705/5;$ 2.400,00;13009;$ 3.000,00
PB-511;2026_01;1523;$ 1.000,00;4702/0;$ 2.400,00;13010;$ 3.000,00
PB-512;2026_01;1522;$ 1.000,00;4701/8;$ 2.400,00;13011;$ 3.000,00
PB-513;2026_01;2155;$ 1.000,00;4699/3;$ 2.400,00;13012;$ 3.000,00
PB-514;2026_01;1524;$ 1.000,00;4698/1;$ 2.400,00;13013;$ 3.000,00
PB-551;2026_01;4495;$ 1.000,00;4696/8;$ 2.400,00;13014;$ 3.000,00
PB-552;2026_01;3216;$ 1.000,00;4695/6;$ 2.400,00;13015;$ 3.000,00
PB-553;2026_01;5396;$ 1.000,00;4694/4;$ 2.400,00;13016;$ 3.000,00
PB-554;2026_01;5326;$ 1.000,00;4697/0;$ 2.400,00;13017;$ 3.000,00
PB-557;2026_01;2892;$ 1.000,00;4712/2;$ 2.400,00;13018;$ 3.000,00
PB-558;2026_01;1634;$ 1.000,00;4713/4;$ 2.400,00;13019;$ 3.000,00
PB-559;2026_01;5282;$ 1.000,00;4714/6;$ 2.400,00;13020;$ 3.000,00
